"anio";"jurisdiccion_de_residencia_id";"jurisdicion_residencia_nombre";"edad_madre_grupo";"instruccion_madre";"tipo_de_parto_id";"tipo_de_parto_nombre";"semana_gestacion";"intervalo_peso_al_nacer";"sexo_id";"Sexo";"nacimientos_cantidad"
2023;22;"Chaco";"2.15 a 19";"5.Secundaria/Polimodal Completa";1;"Simple";"6.37 a 41";"8.De 3500 y más";2;"femenino";58
2023;22;"Chaco";"2.15 a 19";"6.Terciaria/Universitaria Incompleta";1;"Simple";"5.32 a 36";"4.1500 a 1999";2;"femenino";1
2023;70;"San Juan";"4.25 a 29";"4.Secundaria/Polimodal Incompleta";1;"Simple";"2.22 a 23";"1.Menor de 500";2;"femenino";1
2023;70;"San Juan";"4.25 a 29";"4.Secundaria/Polimodal Incompleta";1;"Simple";"3.24 a 27";"2.500 a 999";2;"femenino";1
2023;38;"Jujuy";"1.Menor de 15";"4.Secundaria/Polimodal Incompleta";1;"Simple";"5.32 a 36";"4.1500 a 1999";2;"femenino";1
2023;38;"Jujuy";"1.Menor de 15";"4.Secundaria/Polimodal Incompleta";1;"Simple";"5.32 a 36";"5.2000 a 2499";2;"femenino";1
2023;70;"San Juan";"4.25 a 29";"4.Secundaria/Polimodal Incompleta";1;"Simple";"5.32 a 36";"3.1000 a 1499";2;"femenino";2
2023;54;"Misiones";"6.35 a 39";"4.Secundaria/Polimodal Incompleta";1;"Simple";"4.28 a 31";"4.1500 a 1999";2;"femenino";1
2023;54;"Misiones";"6.35 a 39";"4.Secundaria/Polimodal Incompleta";1;"Simple";"5.32 a 36";"4.1500 a 1999";2;"femenino";3
2023;54;"Misiones";"6.35 a 39";"4.Secundaria/Polimodal Incompleta";1;"Simple";"5.32 a 36";"5.2000 a 2499";2;"femenino";2
2023;54;"Misiones";"6.35 a 39";"4.Secundaria/Polimodal Incompleta";1;"Simple";"5.32 a 36";"6.2500 a 2999";2;"femenino";2
2023;54;"Misiones";"6.35 a 39";"4.Secundaria/Polimodal Incompleta";1;"Simple";"5.32 a 36";"7.3000 a 3499";2;"femenino";1
